NLQ,PREDICTED SQL,GOLD SQL,DATABASE
Find the first name of students who have cat or dog pet.,SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.PetType  =  'cat' OR T3.PetType  =  'dog',SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',pets_1
What are the first names of every student who has a cat or dog as a pet?,SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat' OR PetType = 'dog')),SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',pets_1
Find the first name of students who have both cat and dog pets .,SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat')) INTERSECT SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'dog')),select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',pets_1
What are the students' first names who have both cats and dogs as pets?,SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat')) INTERSECT SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'dog')),SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',pets_1
Find the major and age of students who do not have a cat pet.,"SELECT Major ,  Age FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat'))","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
"What major is every student who does not own a cat as a pet, and also how old are they?","SELECT Major ,  Age FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat'))","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
Find the id of students who do not have a cat pet.,SELECT StuID FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat')),SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',pets_1
What are the ids of the students who do not own cats as pets?,SELECT StuID FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat')),SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',pets_1
Find the first name and age of students who have a dog but do not have a cat as a pet.,"SELECT Fname ,  Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'dog')) EXCEPT SELECT Fname ,  Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat'))","SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
What is the first name of every student who has a dog but does not have a cat?,SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'dog')) EXCEPT SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat')),"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
Find the type and weight of the youngest pet.,"SELECT PetType ,  weight FROM Pets ORDER BY pet_age DESC LIMIT 1","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",pets_1
"What type of pet is the youngest animal, and how much does it weigh?","SELECT PetType ,  weight FROM Pets ORDER BY pet_age ASC LIMIT 1","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",pets_1
Find the id and weight of all pets whose age is older than 1.,"SELECT PetID ,  weight FROM Pets WHERE pet_age  >  1","SELECT petid ,  weight FROM pets WHERE pet_age  >  1",pets_1
What is the id and weight of every pet who is older than 1?,"SELECT PetID ,  weight FROM Pets WHERE pet_age  >  1","SELECT petid ,  weight FROM pets WHERE pet_age  >  1",pets_1
Find the average and maximum age for each type of pet.,"SELECT avg(pet_age) ,  max(pet_age) ,  PetType FROM Pets GROUP BY PetType","SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",pets_1
What is the average and maximum age for each pet type?,"SELECT avg(pet_age) ,  max(pet_age) ,  PetType FROM Pets GROUP BY PetType","SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",pets_1
Find the average weight for each pet type.,"SELECT avg(weight) ,  PetType FROM Pets GROUP BY PetType","SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",pets_1
What is the average weight for each type of pet?,"SELECT PetType ,  AVG (weight) FROM Pets GROUP BY PetType","SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",pets_1
Find the first name and age of students who have a pet.,"SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",pets_1
What are the different first names and ages of the students who do have pets?,"SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",pets_1
Find the id of the pet owned by student whose last name is ‘Smith’.,SELECT T1.PetID FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID  =  T2.PetID JOIN Student AS T3 ON T2.StuID  =  T3.StuID WHERE T3.LName  =  'Smith',SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',pets_1
What is the id of the pet owned by the student whose last name is 'Smith'?,SELECT T1.PetID FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID  =  T2.PetID JOIN Student AS T3 ON T2.StuID  =  T3.StuID WHERE T3.LName  =  'Smith',SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',pets_1
Find the number of pets for each student who has any pet and student id.,"SELECT count(*) ,  T1.StuID FROM Has_Pet AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID","SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",pets_1
"For students who have pets , how many pets does each student have ? list their ids instead of names .","SELECT count(DISTINCT T2.PetID) ,  T2.StuID FROM Has_Pet AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T1.PetID  =  T3.PetID GROUP BY T2.StuID","select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid",pets_1
Find the first name and gender of student who have more than one pet.,"SELECT T1.Fname ,  T1.Sex FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID HAVING count(*)  >  1","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",pets_1
What is the first name and gender of the all the students who have more than one pet?,"SELECT T1.Fname ,  T1.Sex FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID HAVING count(*)  >  1","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",pets_1
Find the last name of the student who has a cat that is age 3.,SELECT T1.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.pet_age  =  3 AND T3.PetType  =  'cat',SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',pets_1
What is the last name of the student who has a cat that is 3 years old?,SELECT T1.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.pet_age  =  3 AND T3.PetType  =  'cat',SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',pets_1
Find the average age of students who do not have any pet .,SELECT avg(Age) FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet),select avg(age) from student where stuid not in (select stuid from has_pet),pets_1
What is the average age for all students who do not own any pets ?,SELECT avg(Age) FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet),select avg(age) from student where stuid not in (select stuid from has_pet),pets_1
How many continents are there?,SELECT count(*) FROM continents,SELECT count(*) FROM CONTINENTS;,car_1
What is the number of continents?,SELECT count(*) FROM continents,SELECT count(*) FROM CONTINENTS;,car_1
"How many countries does each continent have? List the continent id, continent name and the number of countries.","SELECT count(DISTINCT T2.CountryId) ,  T1.Continent FROM continents AS T1 JOIN countries AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",car_1
"For each continent, list its id, name, and how many countries it has?","SELECT T1.ContId ,  T1.Continent ,  count(DISTINCT T2.CountryId) FROM continents AS T1 JOIN countries AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",car_1
How many countries are listed?,SELECT count(*) FROM countries,SELECT count(*) FROM COUNTRIES;,car_1
